Program,Notes,Frequencies
"Cervix Adenoma","Epithelial tumor of the cervix",433
"Chaetomium Globosum","867*",221|867|102
"Chakra Base Root","Pulse at 4Hz",20
"Chancre","Use Syphilis",
"Chelidonium",,162
"Chemical Sensitivity","See also Liver support",727
"Chemtrail Detox","Can also be useful for lung and sinus problems. All freqs for 5 min",664|7344|2842|1147|686.6|684.1|1113|779.9|829.3|679.2|865|969.9|1067|783.6|800.4|1045|1062|673.9|690.7
"Chest Infection Secondary",,72|333|452|683
"Chicken Pox","By the time pox marks appear, the illness is resolved and the toxins are being expelled through the skin, so must be used in the early stages of flu like symptoms after exposure. Use herpes zoster.",
"Chillbains","Use Perniosis",
"Chilomastix HC","Amoeba cysts",19367.17|964.23|21209.29|1055.95
"Chilomonas HC",,19815.25|986.54
"Chlamydia General",,3773|3768|2223|2218|2213|942|866|840|622|555|470|430
"Chlamydia Pneumoniae",,7543.4|7520.5|4710.5|3773.3|3760.3|1886|1880|943.3|940|620|479|471.66|470.9|941.8|3767.3
"Chlamydia Trachomatis","A usually sexually transmitted bacterial infection causing trachoma, inclusion conjunctivitis, lymphogranuloma venereum, urethritis, and proctitis.",430|620|624|840|1111.4|2213|866|555.7|2222.8
"Chlamydia Trachomatis HC",,18968.87|944.40
"Cholecystitis Acute","Painful gallstone attack",481|743|865|928
"Cholecystitis Chronic","Long-term inflammation of the gallbladder",432|1551|801
"Cholera","An extremely contagious and serious bacterial infection of the small intestines",1035|968|961|851|844|843|691|591|556|330
"Cholera Secondary",,880|802|450|832|787|727
"Cholesteatoma","Benign tumor usually found in middle ear & mastoid region",453|618|793|5058
"Cholesterinum",,1386|173|620|635|780
"Chronic Fatigue Syndrome","Use with General parasite, roundworm, and fluke sets if necessary. Also see EBV and Fatigue general sets. If no response to these, try Cancer leukemia hairy cell",10000|660|2127|787|465|424|664|120|880|1550
"Chronic Fatigue V",,1902|1000|959|649|568|243|922|2422|730|1522|116|1489|962|172|1333
"Cimicifuga","Plant family including black snakeroot and black cohosh",334|594
"Circulation Disturbances",,40|9.39
"Circulatory Stasis","Stimulates blood circulation. See also Circulation disturbances",40|2112|2145|2720|2489
"Cirrhosis Biliary","An inflammatory condition in which bile flow through the liver is obstructed",381|514|677|2271
"Cirrhosis Hepatitis",,291
"Cladosporium Fulvum","A pathogenic fungus",438|233|776|510
"Clostridium Acetobutylicum HC",,19118.23|951.84
"Clostridium Botulinum HC","Produces botulin toxin that causes botulism, a type of food poisoning",18022.92|897.31
"Clostridium Difficile","Can cause diarrhea following treatment with antibiotics",387|635|673
"Clostridium Perringens HC","Spores",19715.68|981.59
"Clostridium Septicum HC",,18122.49|902.27
"CMV","Use Cytomegalovirus",
"Coeliacia",,154|594|656|586|668|787|7958|665|674
"Cold 1","Use 800 and 880 for 10 min, others for 5 min",5500|4400|802|787|727|720|552|440|400|125|72|800|880
"Cold 2",,652|725|746|751|768|1110|333|666|542|522
"Cold 3","Fall, 99. Use all freqs 5 min",20|120|146|440|444|465|727|776|787|880|1500|1550|5000|1000
"Cold 4","Use 880 and 800 for 10 min, 728 for 5 min",3176|2489|880|800|728
"Cold 5","Use 7728 and 4888 for 10 min",7728|4888|8238|2413|880|787|776|727|440|746|567|7880|787|300|310|1234|9999
"Cold 6",,7660|7344|5000|3702|3672|2688|2400|1862|1550|1238|1234|1200|975|880|802|787|780|778|776|774|772|770|768|766|727|688|683|660|450|412|352
"Cold And Flu","Fall, 98. Use 8700 and 7760 for 15 min, others for 5 min",250|465|8210|8700|7760
"Cold And Flu Winter 01",,959|962
"Cold In Head Chest","Mutates constantly; too many strains to include complete list of frequencies. See also Strep Pneumonia, Adenovirus, Rhinitis, Coronavirus, Sinusitis, Pneumonia, Chest infection, and Rhino pneumonitis sets. Use lots of echinacea at onset to prevent cell damage that prolongs healing, even if correct freqs are found.",10000|7344|4412|3176|2489|1550|880|802|787|776|766|728|712|688|683|665|660|600|444|333|20
"Cold 2005 TR",,10000|7344|5000|2950|2900|2650|2600|1550|1234|740|880|787|727|330|165|82.6|41.75|20.87|30
"Cold Sores","Use Herpes Simplex I",
"Colic",,1550|832|802|787|727|20
"Colitis And Diarrhea","Inflammation of the colon",10000|5000|1550|880|832|802|787|727|621|465|454|440|433|344|152
"Collectotrichum",,1482
"Colon Problems General",,20|440|880|1552|802|832
"Colors","Color decode from Jade Machine",2155|2055|960|920|858|815|800|745|677|640|624|470
"Comedones","Blackhead",778
"Complete Early Crane",,34750|31750|31000|10000|5000|3500|2720|2489|2452|2250|2200|2180|2130|2127.5|2120|2100|2093|2050|2008|2000|1998|1865|1862|1850|1840|1800|1600|1570|1560|1552|1550|1500|1100|1050|1027|1000|885|880|875|864|804|803|802|800|799|787|784|781|780|776|775|770|764|740|730|727.5|725|712|700|690|676|666|664|660|650|625|622|600|500|465|450|440|432|428|423|400|304|250|240|162|160|125|121|120|100|95|82|81|80|78|72|70|60|41|36|30|28|26|22|20|18|15|14|13|10|9|8|7|5.5|5|4|3.5|1.8|1
"Complete Early Rife",,10000|5000|3500|2489|2250|2127.5|2093|2008|2000|1865|1850|1800|1600|1570|1560|1550|1500|880|802|800|787|784|776|740|727.5|660|650|625|622|600|500|465|450|400|250|125|120|100|80|60|20
"Condylomata","Usually venereal warts, caused by papilloma virus. Occur near intersection of mucous membranes and skin. Use also Papilloma.",466
"Conjunctivitis","Also known as pink eye. Also use Chlamydia trachomatis and see Bacillus subtilis if necessary",2025|1830|1552|1550|1246|1206|880|822|802|787|727|722|489|432|80|20
"Constipation","Also use Parasites general and roundworm sets if necessary",3176|1550|880|832|802|787|776|727|444|440|422|20
"Contusion","Bruise",9.1|110|2720
"Convoforce",,774
"Convulsions 1",,10000|880|787|727
"Convulsions Spasticity",,9.19|8.25|7.69
"Coraforce",,774
"Corallinus",,533
"Corn Smut",,546|1642|289
"Coronavirus SARS",,9918|9740|4959|4870|2479.5|2435|1394.7|1369.6|1239.7|1217.5|774.8|760.9|619.9|608.7|464.9|456.5|309.9|304.4|155|152.2
"Corynebacterium Diptheriae","Use Diptheria",
"Corynebacterium Diptheriae HC",,17027.18|847.73
"Corynebacterium Xerosis HC",,15732.71|783.29
"Costalgia","Rib pain",10000|880|787|727
"Coughing",,7760|7344|3702|3672|1550|1500|1234|776|766|728|720|688|683|530|525|524|522|514|444|440|432|146|125|95|72|20|7.7|0.5
"Cough Lingering TR",,4664.45|3444.55|2543.35|1666.35|3665.65
"Coughing From Flu Vaccine 1",,453|550|674|728|1109|7160|634|639|1089|522|524|525|146|1500|1550|0.5|514|530|432|440|444|720|1234|3702|20|125|72|95|7.7
"Coxsackie B1",,353|384|834|587|723
"Coxsackie B1 HC",,18122.49|902.27
"Coxsackie B2",,705|534|867
"Coxsackie B3",,612|487|868|653|654
"Coxsackie B4",,421|353|540|8632
"Coxsackie B4 HC",,18047.81|898.55
"Coxsackie B5",,462|1043|1083|569|647|708|774
"Coxsackie B6",,488|736|814|343|551|657|668|669
"Coxsackie General","See also Mumps",612|136|144|232|380|422|424|435|921|923|769|1189|595|676
"Cramping And Nausea",,72|95|190|880|832|787|727|20|4.9
"Cramps",,10000|880|787|727|26
"Cramps Menstrual",,26
"Crinis Humansis",,646
"Crocus Sotillus",,710
"Crohns And Other Bowel Problems V",,141|488|866|468|782|664|604|187|543|1423|972|110|133|979|173|233|672|510|447|350
"Crohns Disease","Also use colitis, colon, and parasite freqs",10000|727|786|440|832|880|1550|20
"Crohns Disease Protozoa 1",,200|206|249|298
"Crohns Disease Viroid 1",,585|593|600
"Croup","Characterized by a loud cough that resembles the barking of a seal, difficulty breathing, and a grunting noise or wheezing during breathing",10000|7344|3702|3672|1234|1165|580|290|870|333|666|523|786|728|880|1550|960|712|278|683|688|776|766|444|95|72|20
"Cryptococcus Neoformans","Yeast which causes respiratory infection than can turn into meningitis. Also known as torulosis.",367|428|444|476|478|522|579|594|785|792|872|2121|5880|5884|597|613|624
"Cryptosporidium","Parasitic protozoa sometimes causing diarrhea in humans",220|482|575|4122|698|711|893|895|1276|5690
"Cunninghamella",,311|323
"Curva Spic",,435
"Cyclospora",,543|316|992|751|268|2144
"Cyst Ovarian",,982
"Cyst Sebaceous TR","Streptothrox plus nocardia and actinomyces Israeli",694|719|784|228|231|237|887|2890|222|262|2154|465|488|567|7880|10000|787|747|727|20
"Cyst Solitary",,75|76|543
"Cystic Fibrosis","Also called mucoviscidosis, a disorder of the exocrine glands that causes them to release very thick mucus. Use Pseudomonas_aeruginosa, Breathing_deep, and General Antiseptic and see Parasites general and roundworm freqs",523|557|478|776|660|727|778|787|802|880
"Cystitis Chronic","Long-term inflammation of the urinary bladder and ureters",246|1550|880|802|787|727|465|20
"Cystopyelo Nephritis","Inflammation from bladder to kidney",1385
"Cysts Hydatid","Use Parasites tapeworm",
"Cytochalasin HC",,4530.62|3833.60|225.57|190.86
"Cytomegalovirus","CMV, known as salivary gland virus or human herpes type 5|2145*",126|597|629|682|1045|2146|2144|2145|8848|8856
"Cytomegalovirus HC",,20362.91|1013.81
"Cytophaga Rubra HC",,21408.44|1065.86
"Deafness","Partial to complete",10000|1550|880|802|787|727|20
"Deer Tick 1",,7989|289|737|738|271|671|773
"Dematium Nigrum","Soil fungi found in human lesions",243|738
"Dengue Fever TR",,160|500|1600|5000|7344|4412|1550|1234|740|880|787|727|330|10000|5000|30|10551.5|5275.8|2627.9
"Dental And Jawbone Infections 1","Use converge 1 1 on all except use converge 1 0.1 on 728",7270|2720|2170|880|787|727|500|190|728
"Dental And Jawbone Infections 2",,15|326|465|727|787|880
"Dental Foci","Neglecting this can prevent recovery from any illness if infection is a problem",5170|3000|2720|2489|1800|1600|1550|1500|880|832|802|787|776|727|666|650|646|600|465|190|95|47.5
"Dental General","See also Toothache",728|784|635|640|1036|1043|1094|685|60|48|465
"Dental Infection","Roots and gums",960|660|666|690|727|784|787|800|880|1560|1840|1998|2489
"Dental Infection 1",,5170|3000|2720|2489|1800|1600|1550|1500|1094|1043|1036|880|832|802|787|776|727|685|666|650|646|640|635|600|465|190|95|60|48|47.5
"Dental Infection 2",,10000|5000|1562|1552|1550|880|800|799|787|784|776|774|728|727|664|620|464|254.2|120|64|20
"Dental Infection And Earache 1",,960|930|900|880|832|802|800|787|776|775|768|760|750|727|685|680|666|650|646.3|646|640|635|622.3|547|521|518
"Dental Infections TR",,3400|2489|1700|1560
"Dental Infections V",,981|138|142|177|183|210|222|233|436|534|626|723|835|875|5227|7059
"Depression Anxiety Trembling Weakness",,3.5|800
"Depression Drugs Or Toxins",,1.1|73
"Depression General","Avoid starches in diet, use a multivitamin and multimineral, and drink plenty of water",10000|5000|3176|800|787|73|35|7.83|3.5|1.1
"Detox And Lymphs",,10000|3176|3040|880|787|751|727|676|635|625|522|465|444|440|304|306|148|146|15.2|15.05|10.36|10|7.83|6.3|2.5|3176
"Detox Assist",,10000|3176
"Detox 1",,10000|3176|522|164|89|24
"Diabetes 1","Warning; can cause large drop in blood sugar level. Use 5000 for 15 min",5000|2127|2080|2050|2013|2008|2003|2000|1850|880|803|800|787|727|660|484|465|440|35|20|6.8
"Diabetes 2",,4200|2128|1865|1850|1550|787|465|444|125|95|72|48|302
"Diabetes Associated Infection",,2020|800|727|786|190|80|20
"Diabetes Secondary",,10000|2720|2170|1800|1550|880|802|727|465|20
"Diabetes Tertiary",,1850|32000|4000|500
"Diabetic Loading",,35|700
"Diabetic Toe Ulcer 1","Also use Staph aureus freqs and see Staph general, General antiseptic, and Circulation stimulation as needed",786|2112|1050|1.2|5000|832|20
"Diarrhea","See also Colitis, Clostridium difficile, E. coli, and for chronic problems, giardia and IBS freqs. Also see Parasite general set if no relief.",1550|880|832|802|786|727|465
"Dientamoeba Fragilis HC",,20113.98|1001.42
"Diphtheria","Bacterial infection causing sore throat, fever, rapid heartbeat, nausea, chills, headache and may progress to damage heart and nerves from bacterial toxins. Rare in US.",10000|1000|925|800|788|776|624|590|432|340|151
"Diplococcus Diptheriae HC",,17973.13|894.83
"Diplococcus Pneumoniae HC",,17923.34|18172.28|892.35|904.74
"Dirofilaria Immitis","Use Parasites heartworm",
"Disc Herniated",,727|787|2720|10000
"Distemper",,242|253|254|255|312|442|551|573|624|671|712|760|940|950|1269|1950|8567|660
"Distortion","Twisting of muscles, spine",9.1|110
"Diverticulitis Acute","See Intestines, inflammation. All freqs for 10 min",120|500
"Diverticulosis","Characterized by tiny hernias of intestinal tissue protruding through the muscular wall of the colon",154|934
"Dizziness","Use Vertigo",
"DNA Repair","Exp",528|731|732
"Dog And Cat Hostility 1",,3.6
"Downs Syndrome Palliative",,20
"Droglioma","Use Cancer, droglioma",
"Drug Addiction",,20
"Duodenal Ulcer","Use Ulcer, duodenal",
"Duodenitis",,223
"Dupuytrens Contracture","4th and 5th finger curling into hand, unable to straighten",1.2|250
"Dysentery","Acute diarrhea with blood and mucus. Also use Entamoeba histolytica, Salmonella, and Shigella",1552|802|832
"Dysmenorrhea","Painful menstruation. Use with plain water douche",26|4.9|1550|880|802|787|727|465
"Dyspepsia","Indigestion. If chronic or with bloating, also see Parasites general",10000|880|1550|832|800|787|727|465|444|20|125|95|72|4.9
"E Coli","Escherichia coli; can cause infections in wounds and the urinary tract. If using these leads to common cold symptoms, follow with Adenovirus freqs, 800/802*, 1550/1552*",7849|7847|1730|1722|1552|1550|1320|1244|1000|957|934|856|840|832|804|802|800|799|776|642|634|556|548|413|333|330|327|289|282
"E Coli 1","Recommended for cancer adjunct",7847|1730|1712|1244|1000|934|856|840|800|776|642|634|556|539|358|330
"E Coli Comp",,7849|7847|1730|1722|1712|1703|1552|1550|1320|1244|1242|1000|957|934|856|840|832|804|802|800|799|776|642|634|632|556|548|539|413|358|333|330|327|289|282
"E Coli HC",,17724.20|19566.32|974.15|882.44
"E Coli Mutant Strain",,556|934|1242|1244|1703|632|634|776
"Ear Conditions Various","Discharges, tinnitus, itching, hearing loss. Also see Otitis.",10000|880|787|727|776|766|688|683|652|645|542|535|440|410|340|201|158|20|9.19
"Ear Fungus 1",,854
"Ear Wax","Use Cerumen",
"EBV","Use Epstein-Barr Virus",
"Echinococcinum","Use Parasites, tapeworms, echinococcinum",
"Echo Virus","Endometriosis Tuberylosa, can cause a type of viral meningitis",922|788|765|722|625|620|614|613|612|611|610|609|608|607|606|605|604|603|514|461
"Eczema",,9.19|707|1550|802|787|727|10000|5000|2720|2008|2180|2128|664|120|20
"Eczema 1",,770|916|415
"Eczema 2",,730.2|1550|802|787|690
"Eczema Vascular And Lung Disturbances",,9.39
"Edema","See also Kidney and Lymph stimulation",40|522|146|6.3|148|444|440|880|787|727|465|20|5000|10000
"Electrolyte Levels"," to improve",8.1|20|10000
"Electrosmog 1",,99.5
"Elephantiasis","Use with parasite, esp roundworm and nematode freqs",623|824|865|710
"Elkanella Corroderis HC",,19018.66|946.88
"Emotional Ties To Diseases",,764|664
"Emphysema","Use with mycoplasma pulmonis, mycoplasma pneumonia, and parasite freqs, esp roundworm",1234|3672|7344|880|787|727|120|20|80
"Emphysema Comp",,7344|3672|2838.5|2688|2404.2|1234|975|880|787|777|766|727|709.2|688|683|660|650|601|422|300.5|240|150.3|128|120|80|75.1|20
"Encephalitis","Inflammation of the tissues of the brain and spinal cord",841
"Endocarditis","Use Listeriose",
"Endocrine RX TR","Includes stimulating frequencies for pineal, hypothalamus, pituitary, thyroid, adrenal, and thymus gands",662|1725|1342|1534|1413|1351|635|763|1335|645|10000
"Endolimax Nana HC","Trophozoites and cysts",19715.68|981.59|21508.01|1070.82
"Endometriosis 1","Use 246|800|and 1550 for 5 min",6766|6672|6641|6578|2150|2128|2082|2013|2008|2003|2000|1850|1550|945|854|846|830|800|763|676|651|524|435|275|246|142
"Endometriosis Chronic","Growth of uterine tissue outside the uterus that may cause pain, infertility, & abnormal uterine bleeding. Use with Parasites, flukes, general",246|800|1550
"Endometriosis Tuberylosa","Use Echo virus",
"Energy Vitality",,9999
"Entamoeba Coil HC","Trophozoite",19715.68|981.59
"Entamoeba Gingivalis HC","Trophozoite",21806.74|1085.69
"Entamoeba Histolytica","Highly damaging protozoa causing dysentery and liver infection",148|166|308|393|631|778
"Entamoeba Histolytica HC",,19168.02|954.32
"Entamoeba Histolytica Secondary",,1552|880|802|1550|832|787|727|690|660|465|786|768|523|333
"Enterobacter Aerogenes HC","Causes intestinal problems",18620.36|927.05
"Enterobiasis -","Pinworms. Use Parasites, enterobiasis",
"Enterococcinum","Homeopathic nosode for Strep family organisms found in the digestive and urinary tracts",686|409
"Enterohepatitis","Inflammation of bowel & liver",552|932|953
"Enterovirus General","Generic term meaning small virus, includes Echo, Coxsackie, and Polio",5000|3636|2632|1850|1500|1488|1422|1189|1044|922|868|845|822|788|776|766|742|733|721|676|654|625|620|612|610|608|595|515|487|461|435|423|380|322|283|232|144|136|20
"Enuresis","Bed wetting. Use with parasite sets",10000|880|787|727
"Epicoccum",,734|778
"Epicondylitis","Tennis elbow, lateral or vertical",1.2|250|728|766|776|880
"Epidermophyton Floccinum","Fungus that attacks skin & nails, including some athlete's foot and jock itch ringworms. Also use Microsporum freqs and Fungal general if necessary.",22107|465|784|644|766|345
"Epididymitis","Inflammation of testicle area, ducts. See also Orchitis.",2250|1500|880|787|727|20
"Epilepsy","Also try Shigella",10000|880|802|787|727|700|650|600|210|633|125|20
"Epstein Barr HC",,18919.09|18670.15|941.93|929.53
"Epstein Barr Virus","The herpes virus causing mononucleosis",8768|6618|1920|1013|825|738|669|667|663|660|274|253|172|105
"Epstein Barr Virus Secondary","Also try General parasite and roundworm freqs",744|776|778|465|880|787|727|1032|1920
"Ergot HC",,14687.19|731.23
"Erwinia Amylovora HC",,17425.47|867.56
"Erwinia Carotovora HC",,18570.58|924.57
"Erysipelas","Bacterial infection manifesting in skin inflammation caused by strep pyrogenes or other pathogens and possibly related to the swine form of the disease",616|776|735|845|660|10000|880|787|727|465|20
"Erythema Infectiosum","Human parvovirus B19|sometimes known as Fifth disease, a contagious viral infection which causes blotchy or raised red rash with mild illness. exp",809|1618|3236
"Erythema Nosodum",,9.39
"Escherichia Coli","Use E. coli",
"Esophagus","Constriction. Also see General antiseptic and dental freqs",880|787|727
"Euglena",,432|3215|3225|3325|6448
"Eustachian Tube Inflammation","Also use General_Antiseptic",1550|880|802|787|776|727|465
"Eye Disorders","Blurred vision, cataracts, crossed eyes, diplopia, infections, etc.",10000|2010|1831|1830|1829|1600|1552|1335|880|787|727|496|400|360|350|160|20
"Eye Inflammation","Also see General antiseptic",1.2|80
"Eyelid Droop","Use Ptosis",
"Eyes Glaucoma",,1600|1830|880|787|727
"Eyesight Sharpen",,350|360|1830
"Facial Cramps",,10000|6000|304|1131|33
"Facial Paralysis",,10000|880|787|727
"Facial Toning",,1.2
"Fainting",,20
"Fascia","Fibrous tissue under the skin. Also see Fibroid freqs",20
"Fatigue General",,428|424|664|660|464|125|120|95|72|20|444|1865|10000|5000
"Febris Wolhynia","A Rickettsia illness, transmitted by lice, that is debilitating and conducive to relapse",547|356
"Fel Tauri","Homeopathic preparation of ox bile",672
"Feli",,435|742
"Felis",,430|834|2232|3233
"Felon 1","Pus, infection of finger tips",657|659|738|751
"Felon 2",,663|665|720|722
"Feloris Wolyhnica",,547
"Fever","Some causes",1552|880|800|832|422|2112|787|727|20
"Fever Sunstroke",,20|440|880
"Fibroadenoma Mamae","Non cancerous, fibrous nodules in the breasts. Use kelp capsules too",1384|2128|2189
"Fibroids General","See Parasites, flukes, general",2950|2189|2128|2127|2008|1744|1552|1550|1488|1384|1234|880|802|787|776|727|690|666|465|267
"Fibroma",,2127|2008|727|690|666|1550|802|465
"Fibromyalgia","Run Detox afterwards if needed",328|880|800|728|5000|2720|2180|2128|664|464|304|120|20
"Fibromyalgia 1",,120|140|304|464|728|800|880|2489|3176|5000|6000|9000
"Fibromyalgia 2",,2008|2050|2080|2127|880|800|787|728|600|420|320|120|3790|3792|3794|3796|3798|3800|3802|3804|3806|3808|3810
"Fibromyalgia TR","Includes muscle relaxtion frequencies. Run 321|384|and 40 for 12 min each",321|384|40|965|200|120|240|760|68|6000|304
"Fibropendulum",,661|7465|211|233|766
"Fibrosarcoma",,1744
"Fibrosis Lung","Use Pulmonary fibrosis",
"Fifth Disease","Use Erythema infectiosum",
"Fischpyrogen",,832
"Fissures",,787|20|10000
"Fistula Dentalis","727*, 878*, 1122*",550|727|844|878|1122|786
"Fistula Ulcer","Use also Staph freqs",880|832|787|727
"FIV",,262|323|372|404|567|712|742|760|773|916|1103|1132|3701
"Flatulence",,1550|880|832|802|787|727|465
"Flu","Use Influenza",
"Flukes","Use Parasites, flukes",
"Fluor Alb","Homeopathic cell salt",110|342|420|423|688|757
"Follicular Mange","Contagious dermatitis found in many animals that is caused by mites and in which the principle activity is at the hair follicles. Also soak with vegetable oil, let sit at least 15 minutes, and rinse with thyme tea.",253|693|701|774
"Folliculitis Hot Tub","Tiny pimples",174|482|5311
"Food Poisoning","Some classes. Also use Salmonella typhimurium and see General antiseptic, Abdominal pain, and Abdominal inflammation.",1552|802|832
"Foot And Mouth Syndrome","A mild viral infection found in young children but may also be a factor in ALS",232|237|1214|1243|1244|1271|5411
"Fractures Healing",,220|230|10000|880|787|727
"Frequency Fatigue","Tiredness that is not detox from using frequency generator too long",10.55|7.83
"Frigidity Female",,10000|20
"Frostbite",,880|787|727
"Frozen Shoulder","Also use strep pneumonia if necessary",10000|880|802|787|766|727
"Fruitfly",,2167
"Fungus And Mold V",,4442|2411|1833|1823|1333|1155|1130|1016|942|933|886|880|866|784|774|766|745|743|728|623|623|594|592|565|555|524|512|464|414|374|344|337|321|254|242|222|158|132
"Fungus EW Range",,823|824|825|826|827|828|829
"Fungus Flora 1",,331|336|555|587|632|688|757|882|884|887
"Fungus Foot And General 1","Use 1550 for 30min",1550
"Fungus General","Also see candida, yeast, and other specific types",2222|1552|1550|1153|1134|1016|880|802|787|784|727|582|465|422|254|72|20
"Furunkulosis","Boils on skin. Also use Staph aureus freqs",1550|1000|880|802|787|784|770|728|727|660|465|200|116|20
"Furunkulosis Herpes","Also see Herpes general and Furunkulosis",200|1000|1550|802|787|727
"Furunkulosis TR","Also use Staph aureus",1550|1000|880|802|787|784|770|728|727|660|465|200|116|20
"Fusarium General",,768|625|746
"Fusarium Oxysporum","A fungus causing inflammation of the cornea of the eye",102|332|705|795|780
"Gaffkya Tetragena HC","Causes respiratory infections",17425.47|867.56
"Gardnereila Vaginalis HC","Causes ovarian and genital tract infection",16927.60|842.78
"General Antiseptic",,10000|5000|3176|2145|1552|1488|880|802|786|776|766|760|728|688|683|676|666|660|464|450|444|428|120|20
"General Antiseptic 1",,10000|5000|3176|2720|2000|1865|1770|1550|1360|880|804|802|787|786|760|728|690|660|590|555|465|450|428|768|523|333|14
"General Demo","Greatest hits",10000|4412|3040|2128|2112|1862|1550|880|800|786|732|728|712|688|676|644|464|422|128|120|20
"General Malady",,40000|10000|5000
"General Prog Blaster5",,2489|2128|2008|2000|1998|1840|1800|1600|1570|1560|1550|1500|880|800|787|784|776|740|727|690|666|622|600|500|400|120|80
"General Program EMEM",,720|1550|20|4200
"General Prophylaxis",,20|64|95|125|225|427|440|664|728|784|880|802|832|680|760|1550|464|10000|676|1488
"Geotrichum Candidum","Fungus found in feces and dairy products whose manifestations resemble those of candida",350|355|384|386|403|404|407|409|410|412|415|418|543|544|687|987|988|737|700
"German Measles","Use Measles, rubella",
"Giardia","Use Parasites, giardia",
"Gingivitis","Inflammation of gums. See also Dental, Dental foci, Stomatitis. Take calcium and magnesium internally and brush with CoQ10 and myrrh or goldenseal",1550|880|802|787|728|726|465|20|1556|776|465
"Glanders","Use Pseudomonas mallei",
"Glandular Fever",,10000|20
"Glandular Fever Thyroid"," exp",10000|20|16000
"Gliocladium","Brain fungus",855|469|633
"Goiter","Use Struma",
"Gonads Inflammation","Use Orchitis",
"Gonorrhea",,7120|6000|2330|1500|712|660|600|233|150
"Gonorrhea Neisseria HC",,16628.88|927.90
"Gout","Also use water cure and high dose bromelain or other enzymes. See also Kidney freqs",9.39|3000|10000|880|787|727|20
"Granuloma Dent",,441
"Gravel Urine",,2.65|3000|880|787|727|20
"Graves Disease And Goiter",,20|727|787|880
"Greatest Hits","Use General demo",
"Green Dye",,563|2333
"Grippe","Use Influenza, grippe",
"Griseofulvin",,14338.68|713.88
"Gulf War Syndrome V",,7755|6007|5419|2688|1370|1365|975|866|837|771|714|639|633|578|533|435|392|255|253|136
"Guillain Barre Syndrome TR",,10000|7344|5000|2950|2900|2650|2600|1550|1234|740|880|787|727|330|165|82.6|41.75|20.87|30|7344|4412|5000
"Gum Disease","Use Gingivitis_Pyorrhea",
"Haemophilia Tonic","Hereditary bleeding disorders in which the blood does not readily clot",778|845|751
"Haemophilus Influenzae HC","Causes bacterial meningitis, infects joints",16728.45|832.86
"Hair Human",,646
"Halitosis","Bad breath. See also Strep pneumonia, Strep aureus, Pharyngitis, Dental, Parasite general, and General antiseptic sets",1550|802|880|787|727|20
"Hallucinations",,10000|880|787|727|20
"Hand Foot And Mouth Syndrome","A mild viral infection found in young children",232|237|1214|1243|1244|1271|5411
"Hangover","See also Kidney and Liver support freqs",10000|522|146
"Hay Fever","Only some types",880|787|727|20
"Head Injury Followup","Seek immediate medical attention for head injuries!",9.6|3000|880|787|727|522|72|5.8|4.9
"Headaches",,144|160|1.2|520|10|10000|304
"Headaches Caused By Vertebral Misalignment","Not a substitute for adjustment",9.6|3000
"Headaches Comp",,10000|3000|880|787|727|650|625|600|522|520|304|160|146|144|125|95|73|20|10|9.6|9.39|7.83|6.3|5.8|4.9|4|1.2
"Headaches Due To Parasites","See also Parasites, strongyloides",125|95|73|20|727|3000
"Headaches Due To Toxicity",,522|146|4.9|3000|880|787|727|20
"Headaches Unknown Cause",,10|4|5.8|6.3|7.83|3000|650|625|600
"Headaches Urogenitally Caused",,9.39|3000
"Healing And Regeneration",,2720|266|47
"Heart Blockage 1",,59|60|61
"Heart General",,20|81|162|5000
"Heart Tonic","Lab animals only. See also Chlamydia, Staph infection, Circulatory stasis, and Kidney freq sets",80|160|20|73|3.9|3000|880|787|727|465|162|125|95|20|1.2
"Heartburn Chronic","Use calcium magnesium supplement and The Water Cure. Also see Staph and Strep general sets and H. pylori",676|832|2720|2170|2127|1800|1600|1550|802|1500|880|787|727|685|465|444|1865|125|95|72|20
"Heartworm","Use Parasites, heartworm",
"Heavy Metal Toxicity TR",,31905.6|38014.4|39032.6|43644.3|56656.4|76677.5|43644.3|38014.3|4202.3|5333.7|9887|1902|317
"Heel Spurs","Use Bone_spurs",
"Helicobacter Pylori","Ulcer. Run 676 for 10 min, 676*",2950|2819|2779|2167|880|728|705|695|676|352|347
"Helicobacter Pylori 1",,2167|728|880|2950
"Helicobacter Pylori 2",,695|2779|705|2819
"Helicobacter Pylori 3",,0.2|0.4|0.6|0.8
"Helminthosporium","The reproductive element of some parasitic worms",793|969
"Hemobartinella Felis",,603|957
"Hemophilia",,603
"Hemorrage",,1550|802
"Hemorrhoids",,4474|6117|774|1550|447|880|802|727
"Hepatitis A","Add Hepatitis general freqs if necessary",321|346|414|423|487|558|578|693|786|878|3220|717
"Hepatitis B","Add Hepatitis general freqs if necessary",334|433|767|869|876|477|574|752|779
"Hepatitis B HC","Antigen",20562.06|1023.72
"Hepatitis C","Also try Parasites, schistosoma mansoni and Hepatitis general freqs if necessary",5000|3220|3176|2489|2189|1865|1600|1550|1500|1371|933|931|929|880|802|665|650|633|625|528|444|329|317|250|224|166|146|125|95|72|28|20
"Hepatitis C 1",,10000|5000|3220|3176|2489|1865|1600|1550|1500|880|802|665|650|600|444|250|166|146|125|95|72|28|20
"Hepatitis C TR",,728|166|224|317|727|787|880|2189
"Hepatitis General",,1550|1351|922|880|802|727|477|329|317|224|28
